ID,RENDIMIENTO_GLOBAL
550236,bajo
98545,medio-alto
499179,alto
782980,bajo
785185,medio-alto
58495,bajo
705444,alto
557548,alto
519909,medio-bajo
832058,medio-alto
500006,alto
533123,medio-bajo
18369,alto
554003,alto
270523,medio-alto
68783,medio-alto
466788,medio-alto
580496,bajo
980,medio-bajo
45318,medio-bajo
169937,alto
567594,medio-bajo
931069,medio-bajo
662151,bajo
820068,medio-bajo
180573,medio-bajo
722897,bajo
486612,bajo
392732,bajo
415940,bajo
370677,bajo
913342,bajo
53348,alto
611580,medio-alto
325518,medio-bajo
559385,bajo
924014,alto
655091,medio-bajo
274300,bajo
597774,medio-alto
10492,bajo
42157,alto
122478,medio-bajo
182105,bajo
840917,bajo
492145,bajo
199025,bajo
60321,medio-alto
468865,bajo
531909,alto
597315,medio-bajo
710545,alto
92908,alto
227538,bajo
132175,alto
63918,medio-bajo
792721,bajo
250248,bajo
957279,alto
235051,bajo
590903,alto
743287,bajo
397479,medio-alto
687497,alto
480574,bajo
559689,bajo
908667,bajo
476824,alto
226433,bajo
690604,medio-alto
557125,medio-bajo
564399,alto
955977,bajo
871869,alto
332129,bajo
45041,bajo
925176,alto
846268,alto
47569,bajo
127318,bajo
377732,bajo
574357,medio-bajo
267596,alto
641577,medio-alto
863855,alto
302704,medio-bajo
268355,medio-bajo
405753,medio-alto
816804,medio-alto
199380,alto
290262,medio-alto
747029,bajo
955279,alto
869062,bajo
703174,medio-bajo
206808,bajo
275015,bajo
912224,alto
114504,alto
118751,bajo
441770,alto
661560,medio-alto
119553,bajo
619351,alto
116083,medio-alto
422409,alto
729575,medio-alto
645509,bajo
764033,bajo
894558,alto
597971,bajo
517374,bajo
692756,medio-bajo
62436,alto
494235,alto
687092,alto
816772,medio-bajo
57602,medio-bajo
857758,bajo
366346,bajo
734637,alto
422384,bajo
913090,medio-alto
398691,medio-alto
638856,bajo
51458,bajo
823643,medio-bajo
225055,bajo
382685,medio-alto
408940,alto
210238,bajo
301118,medio-alto
366661,medio-alto
225318,alto
94973,medio-bajo
729515,bajo
90676,medio-alto
348354,bajo
298755,medio-bajo
192563,alto
226309,alto
69785,alto
456604,medio-alto
986954,medio-bajo
637087,alto
269038,alto
587596,bajo
905623,alto
571317,alto
29120,alto
731710,bajo
384687,medio-bajo
706026,alto
279020,medio-bajo
315743,alto
836272,alto
232290,alto
930618,alto
4447,medio-bajo
694384,bajo
132280,medio-bajo
335605,medio-alto
648023,medio-alto
133931,bajo
528538,alto
690236,bajo
157636,alto
449478,alto
758546,medio-alto
240083,bajo
937812,alto
580858,alto
276553,alto
62388,alto
276920,medio-alto
127735,medio-alto
807003,alto
760381,alto
650613,alto
957009,bajo
54561,bajo
846365,medio-bajo
485316,bajo
444466,bajo
889129,bajo
859395,bajo
156113,alto
773162,bajo
306124,medio-bajo
61437,bajo
582061,medio-bajo
57419,alto
315592,medio-bajo
140538,medio-bajo
74473,bajo
877256,medio-bajo
641111,alto
393129,bajo
76355,bajo
66971,bajo
413284,alto
134959,medio-bajo
800546,alto
768129,medio-bajo
640336,bajo
606145,alto
728416,medio-bajo
467751,medio-alto
621666,alto
586399,alto
82959,alto
66879,medio-bajo
576030,bajo
881747,medio-alto
580362,alto
22858,bajo
447838,alto
691746,bajo
279324,medio-alto
161659,alto
422331,bajo
661473,alto
813465,alto
138167,bajo
977709,bajo
219703,alto
500672,alto
262891,medio-bajo
826088,medio-bajo
293110,alto
818259,alto
428177,medio-bajo
148749,alto
799182,bajo
234257,alto
904677,alto
115034,bajo
918425,bajo
459061,bajo
734292,bajo
25000,medio-bajo
880620,bajo
707507,bajo
563877,alto
549313,medio-alto
924367,medio-alto
921526,alto
501889,bajo
218042,alto
845503,bajo
83447,bajo
116549,alto
334978,bajo
461457,alto
150090,bajo
543166,bajo
933354,alto
981442,bajo
502981,medio-bajo
561184,bajo
151695,bajo
677316,alto
498736,bajo
563618,alto
64112,medio-bajo
509342,alto
778533,alto
277012,bajo
380454,alto
984139,alto
566285,bajo
128025,medio-bajo
799233,medio-alto
607397,bajo
665426,alto
852832,alto
56862,medio-alto
156420,medio-bajo
626763,bajo
653429,bajo
956369,bajo
647378,medio-alto
879008,alto
551927,medio-alto
487126,bajo
228005,alto
154031,medio-bajo
705181,medio-bajo
747118,medio-alto
569122,alto
101090,medio-bajo
171826,alto
20159,medio-bajo
434789,alto
554318,medio-alto
691386,bajo
686278,medio-alto
38267,alto
355451,alto
3235,alto
445371,bajo
68160,alto
978506,medio-bajo
84354,bajo
750964,medio-bajo
827175,alto
126608,medio-bajo
673309,medio-bajo
291376,medio-bajo
650804,medio-bajo
886418,medio-bajo
571007,alto
321382,medio-alto
857458,bajo
858235,alto
675331,alto
946594,bajo
750112,bajo
311183,alto
12285,bajo
729167,bajo
401319,medio-bajo
876541,alto
89935,bajo
446440,bajo
773047,bajo
47756,bajo
442794,alto
550549,medio-bajo
48668,alto
234713,alto
399113,bajo
359512,bajo
257172,bajo
958636,medio-bajo
810017,medio-alto
988058,alto
746961,bajo
640927,medio-bajo
475524,bajo
454302,alto
323311,bajo
794861,medio-bajo
897629,bajo
701462,medio-bajo
592080,medio-alto
564849,bajo
270585,bajo
238044,bajo
494390,alto
943233,alto
136891,bajo
432110,bajo
379942,alto
621982,medio-alto
650243,alto
697884,medio-alto
498752,alto
824211,alto
839304,medio-bajo
482026,medio-bajo
459429,alto
414688,medio-bajo
978832,alto
243984,alto
980614,alto
242911,medio-alto
679254,bajo
672102,alto
33192,alto
17477,bajo
254720,bajo
486492,alto
787991,bajo
254230,medio-bajo
195489,alto
398704,medio-bajo
858080,bajo
390568,medio-bajo
638588,medio-bajo
520909,bajo
658225,alto
112439,alto
225317,alto
449257,alto
293422,alto
378026,medio-bajo
121214,bajo
968439,medio-bajo
529373,medio-bajo
963110,medio-alto
859999,bajo
164438,medio-bajo
411350,alto
62660,alto
502542,bajo
270988,medio-bajo
105343,alto
350200,medio-bajo
852174,medio-bajo
306223,bajo
638735,bajo
403601,bajo
162544,bajo
55472,medio-bajo
281625,medio-alto
811895,medio-bajo
552620,bajo
837784,alto
476322,alto
110090,alto
277774,medio-alto
674712,alto
348002,bajo
440029,medio-alto
285884,bajo
417251,alto
87965,alto
298537,medio-bajo
473664,alto
221053,bajo
875203,alto
565820,alto
100334,medio-alto
973020,alto
392558,bajo
902796,medio-alto
474282,bajo
664656,medio-bajo
296316,bajo
127415,medio-bajo
140403,medio-bajo
420625,medio-alto
105196,medio-bajo
245079,medio-bajo
841250,medio-alto
145703,bajo
562890,alto
880498,bajo
428377,bajo
284006,medio-alto
251771,alto
187419,medio-bajo
526025,alto
622416,medio-bajo
261908,bajo
54722,alto
615235,alto
148859,bajo
127940,medio-alto
664551,bajo
569339,medio-bajo
67943,bajo
109858,bajo
285984,alto
447487,bajo
760773,alto
837043,alto
758730,alto
825390,medio-bajo
259415,alto
761568,bajo
884908,alto
987853,bajo
298706,bajo
985730,bajo
125363,medio-bajo
301022,alto
482222,alto
890225,medio-bajo
963437,bajo
955533,medio-bajo
935195,medio-bajo
733226,alto
380062,medio-bajo
574505,alto
752159,medio-bajo
957044,bajo
267021,alto
677311,bajo
187524,bajo
888448,alto
665705,medio-alto
743938,medio-bajo
739217,medio-alto
476837,medio-alto
505984,medio-alto
759967,medio-bajo
236579,alto
170911,alto
380829,alto
756434,alto
363513,alto
804160,medio-alto
35995,bajo
116990,alto
909709,medio-alto
264926,bajo
599892,bajo
686689,alto
514717,bajo
399914,bajo
417461,alto
676675,bajo
442984,medio-alto
99967,bajo
867748,bajo
369468,alto
399467,bajo
703801,bajo
46051,bajo
563757,medio-alto
631530,alto
522673,bajo
591095,alto
11925,medio-alto
604380,bajo
536879,bajo
210900,bajo
62466,alto
44314,medio-alto
691692,alto
779188,bajo
518883,medio-bajo
317089,alto
569983,alto
460172,medio-bajo
395709,medio-bajo
219215,alto
928539,bajo
339014,bajo
229903,bajo
252067,alto
590912,alto
853339,bajo
55811,bajo
436909,alto
398404,bajo
954200,medio-bajo
963992,medio-bajo
136855,bajo
607964,alto
215103,bajo
538852,bajo
485839,alto
266129,medio-alto
855955,medio-bajo
837187,alto
579199,alto
977915,medio-bajo
484009,medio-bajo
448615,bajo
111853,medio-bajo
362898,medio-bajo
239355,medio-alto
884052,alto
788391,alto
48202,alto
594994,medio-bajo
520539,bajo
763648,bajo
740172,medio-bajo
116748,bajo
819016,alto
386525,medio-bajo
780488,alto
9481,medio-bajo
589732,bajo
706792,alto
107848,alto
521903,alto
621277,bajo
754152,medio-bajo
151040,alto
421512,alto
319476,bajo
258787,bajo
921159,medio-bajo
255541,bajo
914367,alto
94356,bajo
147778,alto
462101,alto
37990,bajo
115689,medio-alto
978774,alto
631850,alto
785708,alto
71402,bajo
105119,alto
553238,bajo
682313,bajo
761159,alto
688822,alto
752244,bajo
617599,medio-alto
872682,bajo
606948,alto
212112,alto
926883,bajo
247911,alto
170826,bajo
353967,alto
511874,bajo
417895,bajo
250660,medio-bajo
818175,medio-bajo
937314,bajo
595421,bajo
5632,bajo
765441,bajo
707540,medio-bajo
730984,medio-alto
281114,alto
219716,bajo
170800,bajo
454096,medio-bajo
76017,alto
644636,medio-alto
526969,bajo
294418,medio-alto
782983,alto
333072,bajo
437094,alto
839248,bajo
199341,bajo
271935,medio-bajo
701139,bajo
807557,medio-bajo
630863,bajo
965291,medio-alto
777755,medio-alto
357252,bajo
670082,bajo
748044,alto
282888,bajo
817060,medio-bajo
664667,medio-bajo
453519,alto
585354,alto
925021,bajo
230474,alto
744025,bajo
43931,medio-bajo
433838,alto
219531,alto
37711,medio-alto
7640,medio-alto
32594,bajo
959868,alto
554399,bajo
164784,alto
66073,alto
710941,medio-bajo
247221,alto
86579,alto
104486,medio-bajo
821805,alto
979481,alto
403101,alto
361323,bajo
102984,bajo
973248,alto
259476,alto
978509,medio-alto
933620,bajo
177732,bajo
22524,alto
288044,bajo
100050,alto
12407,bajo
249885,alto
28892,bajo
245482,medio-bajo
345582,alto
559510,medio-bajo
878367,alto
304177,alto
451542,medio-alto
845194,bajo
435430,bajo
201031,bajo
903893,alto
227503,alto
143647,medio-bajo
870082,bajo
452606,bajo
799885,alto
29988,alto
479980,medio-bajo
70136,medio-bajo
266365,medio-bajo
32170,bajo
165048,medio-alto
782461,bajo
379966,alto
336324,alto
546941,alto
319456,bajo
656238,bajo
737965,alto
33167,bajo
943496,medio-bajo
876878,medio-bajo
275598,bajo
549349,alto
875568,bajo
5699,medio-bajo
32397,bajo
910660,alto
740835,alto
155454,medio-bajo
983424,alto
138858,alto
774203,alto
524563,alto
225125,bajo
510863,bajo
430326,alto
861238,medio-alto
595168,medio-bajo
715816,alto
327249,bajo
918914,alto
338071,bajo
844017,bajo
880202,alto
315995,medio-alto
866593,alto
223761,medio-bajo
610067,bajo
639283,medio-alto
653034,medio-bajo
670750,medio-alto
383279,alto
960478,alto
688143,alto
700116,medio-alto
827339,alto
560618,alto
752522,bajo
33141,bajo
422419,bajo
249953,medio-alto
856643,medio-bajo
380034,alto
359530,medio-bajo
300640,alto
902597,medio-bajo
413998,medio-bajo
101967,medio-bajo
496038,medio-alto
190787,bajo
321167,bajo
754617,alto
217734,bajo
58094,alto
726201,bajo
540442,bajo
625379,alto
888915,alto
484932,medio-bajo
747156,alto
102046,alto
